section,stack_no,process,diameter,sampling_month_year,stack_temperature,oxygen_pct,gas_velocity,flow_rate,dust_emission_actual_o2,dust_emission_rate,operation_hour,dust_emission_total,report_month
Dust/ Bụi,Ống khói lò nung men số 1,,,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744.0,347.88696000000004,Aug
Dust/ Bụi,Ống khói lò nung men số 1,,,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,720.0,336.66480000000007,Sep
Dust/ Bụi,Ống khói lò nung men số 1,,,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744.0,347.88696000000004,Oct
Dust/ Bụi,Ống khói lò nung men số 1,,,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,720.0,336.66480000000007,Nov
Dust/ Bụi,Ống khói lò nung men số 1,,,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744.0,347.88696000000004,Dec
Dust/ Bụi,Ống khói lò nung men số 2,,,29/9/2019,124.3,,,141.5,52.0,0.44148,384.0,169.52832,Jan
Dust/ Bụi,Ống khói lò nung men số 2,,,29/9/2019,124.3,,,141.5,52.0,0.44148,328.0,144.80544,Feb
Dust/ Bụi,Ống khói lò nung men số 2,,,29/9/2019,124.3,,,141.5,52.0,0.44148,744.0,328.46112,Mar
Dust/ Bụi,Ống khói lò nung men số 2,,,3/4/2020,149.5,,,186.66666666666666,48.5,0.5431999999999999,720.0,391.1039999999999,Apr
Dust/ Bụi,Ống khói lò nung men số 2,,,3/4/2020,149.5,,,186.66666666666666,48.5,0.5431999999999999,744.0,404.14079999999996,May
Dust/ Bụi,Ống khói lò nung men số 2,,,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,720.0,391.91040000000004,Jun
Dust/ Bụi,Ống khói lò nung men số 2,,,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,744.0,404.97408,Jul
Dust/ Bụi,Ống khói lò nung men số 2,,,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,744.0,404.97408,Aug
Dust/ Bụi,Ống khói lò nung men số 2,,,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,720.0,391.91040000000004,Sep
Dust/ Bụi,Ống khói lò nung men số 2,,,20/8/2020,124.7,,,155.66666666666666,44.2,0.412828,744.0,307.144032,Oct
Dust/ Bụi,Ống khói lò nung men số 2,,,20/8/2020,124.7,,,155.66666666666666,44.2,0.412828,720.0,297.23616,Nov
Dust/ Bụi,Ống khói lò nung men số 2,,,20/8/2020,124.7,,,155.66666666666666,44.2,0.412828,744.0,307.144032,Dec
Dust/ Bụi,Ống khói lò nung men số 3,,,29/9/2019,117.7,,,138.0,52.0,0.43056,416.0,179.11296,Jan
Dust/ Bụi,Ống khói lò nung men số 3,,,29/9/2019,117.7,,,138.0,52.0,0.43056,448.0,192.89088,Feb
Dust/ Bụi,Ống khói lò nung men số 3,,,29/9/2019,117.7,,,138.0,52.0,0.43056,744.0,320.33664,Mar
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,49.6,0.49104,720.0,353.54879999999997,Apr
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,49.6,0.49104,744.0,365.33376,May
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,49.6,0.49104,720.0,353.54879999999997,Jun
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,49.6,0.49104,744.0,365.33376,Jul
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,49.6,0.49104,744.0,365.33376,Aug
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,49.6,0.49104,720.0,353.54879999999997,Sep
Dust/ Bụi,Ống khói lò nung men số 3,,,20/8/2020,107.8,,,202.33333333333334,47.9,0.581506,744.0,432.64046399999995,Oct
Dust/ Bụi,Ống khói lò nung men số 3,,,20/8/2020,107.8,,,202.33333333333334,47.9,0.581506,720.0,418.68431999999996,Nov
Dust/ Bụi,Ống khói lò nung men số 3,,,20/8/2020,107.8,,,202.33333333333334,47.9,0.581506,744.0,432.64046399999995,Dec
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,416.0,225.9504,Jan
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,448.0,243.33120000000002,Feb
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,744.0,404.10360000000003,Mar
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,720.0,391.06800000000004,Apr
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,744.0,404.10360000000003,May
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,720.0,391.06800000000004,Jun
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,744.0,404.10360000000003,Jul
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,744.0,404.10360000000003,Aug
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,51.0,0.54315,48.0,26.0712,Sep
Dust/ Bụi,Ống khói lò nung men số 4,,,20/8/2020,111.4,,,174.16666666666666,46.2,0.48279,0.0,0.0,Oct
Dust/ Bụi,Ống khói lò nung men số 4,,,20/8/2020,111.4,,,174.16666666666666,46.2,0.48279,0.0,0.0,Nov
Dust/ Bụi,Ống khói lò nung men số 4,,,20/8/2020,111.4,,,174.16666666666666,46.2,0.48279,624.0,301.26096,Dec
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,424.0,238.182,Jan
