category,Stack No.,period,variable,unit,Sampling,value
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Dust Emission,kg,2019-12-02,207.6672
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,Stack Temperature,๐C,2019-12-02,153.2
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,%Oxygen,%,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,Gas Velocity,m/s,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,Flow rate,m3/min,2019-12-02,173.3333333
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,Dust Emission Actual O2,mg/m3,2019-12-02,52.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,Dust Emission rate,kg/hr,2019-12-02,0.5408
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,Operation Hour,hr,2019-12-02,328.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Feb,Dust Emission,kg,2019-12-02,177.3824
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,Stack Temperature,๐C,2019-12-02,153.2
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,%Oxygen,%,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,Gas Velocity,m/s,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,Flow rate,m3/min,2019-12-02,173.3333333
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,Dust Emission Actual O2,mg/m3,2019-12-02,52.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,Dust Emission rate,kg/hr,2019-12-02,0.5408
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,Operation Hour,hr,2019-12-02,744.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Mar,Dust Emission,kg,2019-12-02,402.3552
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,Stack Temperature,๐C,2020-04-03,130.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,%Oxygen,%,2020-04-03,0.0
